Route,Going price,Going date,Returning price,Returning date,Total price
DCA - YYZ,33675,2013-05-30 06:00:00 UTC,19830,2013-05-30 06:15:00 UTC,53505
ORD - YYZ,34305,2013-05-30 15:25:00 UTC,21063,2013-05-30 09:50:00 UTC,55368
SFO - YYZ,57060,2013-05-24 15:55:00 UTC,38955,2013-06-13 20:15:00 UTC,96015
YVR - YYC,13840,2013-06-13 17:15:00 UTC,14422,2013-06-06 07:00:00 UTC,28262
YVR - YYZ,29970,2013-06-06 22:45:00 UTC,40150,2013-05-30 13:45:00 UTC,70120
YYC - YVR,14422,2013-06-06 07:00:00 UTC,13840,2013-06-13 18:15:00 UTC,28262
YYC - YYZ,26639,2013-06-13 06:30:00 UTC,29835,2013-06-06 15:15:00 UTC,56474
YYZ - DCA,19830,2013-05-30 06:15:00 UTC,33675,2013-05-30 06:00:00 UTC,53505
YYZ - ORD,21063,2013-05-30 06:30:00 UTC,34305,2013-05-30 15:25:00 UTC,55368
YYZ - SFO,38955,2013-05-30 18:50:00 UTC,57060,2013-05-24 22:15:00 UTC,96015
YYZ - YVR,40150,2013-05-30 13:45:00 UTC,29970,2013-06-06 22:45:00 UTC,70120
YYZ - YYC,29835,2013-06-06 13:30:00 UTC,26639,2013-06-13 06:30:00 UTC,56474
