Route,Epic Count,Shortcut Count
YYZ - IAH,179,403
YYZ - YEG,70,308
YYZ - YWG,56,105
YYZ - PHL,55,374
YYZ - LAX,20,452
YYZ - ORD,10,207
YYZ - CLE,10,38
YYZ - YLW,9,42
YYZ - CVG,9,32
YYZ - DEN,8,311
YYZ - SFO,5,231
YYZ - YYC,3,346
YYZ - YXE,3,19
YYZ - JFK,3,4
YYZ - IAD,2,8
YYZ - BOS,2,5
YYZ - ATL,1,119
YYZ - MSP,1,56
YYZ - CLT,1,52
YYZ - YUL,1,46
YYZ - DFW,1,3
YYZ - YVR,0,92
YYZ - DTW,0,51
YYZ - YOW,0,16
YYZ - YQR,0,11
YYZ - LGA,0,8
YYZ - EWR,0,8
YYZ - MIA,0,3
YYZ - MBJ,0,2
YYZ - YYT,0,1
YYZ - DCA,0,1
