Route,Epic Count,Shortcut Count
PHL - YUL,16,34
SFO - YXE,5,9
DFW - YHZ,3,15
DFW - YQB,3,3
YHZ - RSW,1,10
CVG - MBJ,1,2
CLE - YQR,1,2
CVG - GGT,1,1
YWG - YEG,1,1
IAH - YHZ,0,26
YEG - YQT,0,25
CLT - YYT,0,16
CLE - YXE,0,11
YHZ - YQB,0,11
DTW - YXU,0,11
YEG - LGA,0,10
IAH - YYT,0,8
SFO - YHZ,0,7
SFO - YQT,0,7
IAH - YQB,0,6
SFO - NAS,0,6
CVG - YHZ,0,6
YEG - YUL,0,4
YHZ - ATL,0,3
IAH - YQT,0,3
DTW - YVR,0,2
DTW - YQT,0,2
YHZ - FLL,0,2
YHZ - YXU,0,2
YWG - BGI,0,2
IAH - YXE,0,2
SFO - GGT,0,1
YHZ - BGI,0,1
DTW - YOW,0,1
YHZ - LGA,0,1
CVG - YUL,0,1
YHZ - YUL,0,1
CLE - MEX,0,1
YHZ - UVF,0,1
CLE - YXU,0,1
